file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20260414_174756_672b0b60_result.json,yes,340,yes,76,yes,con thinking,50,1,Rome,single,bachelor's degree,employed part-time,man,board games;volunteering;videogames;hiking,native-born Italian,school teacher,low,20,low,18,high,98,moderate,37,high,73,no formal education,primary school,normal,Judaism,heterosexual,You spend roughly one hour daily on social media
20260414_174756_7658f4b9_result.json,yes,308,yes,61,yes,con thinking,64,3,Philadelphia,divorced,master's degree,self-employed,woman,running;yoga,immigrant,data scientist,low,4,moderate,62,moderate,59,low,4,low,16,PhD,lower secondary,anxious,Christianity,heterosexual,You have no social media
20260414_174802_dd85d772_result.json,yes,325,yes,86,yes,con thinking,63,3,Los Angeles,married,vocational diploma,employed full-time,woman,travel;reading novels,native-born American,carpenter,moderate,51,low,2,low,17,moderate,60,low,5,vocational diploma,upper secondary,normal,Islam,heterosexual,You have no social media
20260414_174814_cd5c6b4a_result.json,yes,296,yes,64,yes,con thinking,24,0,Philadelphia,in a relationship,upper secondary,employed full-time,woman,knitting;reading novels,native-born American,hairdresser,high,80,low,32,low,26,low,29,low,26,PhD,primary school,depressed,Hinduism,bisexual,You spend roughly a few times weekly on social media
20260414_174815_1b2cbf23_result.json,yes,301,yes,71,yes,con thinking,73,2,Milan,divorced,lower secondary,retired,man,rock climbing;baking;videogames,native-born Italian,not applicable,moderate,35,low,1,low,4,high,74,high,74,master's degree,bachelor's degree,creative,Islam,heterosexual,You spend several hours daily on social media
20260414_174818_8d0bd918_result.json,yes,325,yes,56,yes,con thinking,75,0,Chicago,widowed,vocational diploma,retired,man,painting;rock climbing;cooking;knitting,native-born American,not applicable,high,74,low,4,low,15,low,3,high,77,master's degree,vocational diploma,with good mental health,Christianity,heterosexual,You spend a few times monthly on social media
20260414_174820_970d7cdf_result.json,yes,335,yes,95,yes,con thinking,29,1,Kansas City,married,lower secondary,employed full-time,man,gardening;cycling;reading novels;running,native-born American,carpenter,low,7,moderate,60,moderate,35,moderate,47,high,80,PhD,no formal education,curious,Islam,heterosexual,You spend roughly a few times weekly on social media
20260414_174821_8a6d6de5_result.json,yes,294,yes,69,yes,con thinking,30,2,Washington DC,in a relationship,bachelor's degree,employed part-time,transgender,volunteering;classical music;photography;running;cycling,native-born American,civil servant,moderate,54,moderate,42,moderate,41,moderate,52,high,99,upper secondary,PhD,with good mental health,Christianity,heterosexual,You have no social media
20260414_174822_3f961d8d_result.json,yes,306,yes,67,yes,con thinking,24,0,Rome,single,vocational diploma,employed full-time,man,cooking;reading novels;photography,native-born Italian,sales associate,moderate,50,low,13,low,21,moderate,50,moderate,36,vocational diploma,PhD,depressed,Christianity,heterosexual,You spend roughly a few times weekly on social media
20260414_174823_f65ca6aa_result.json,yes,327,yes,93,yes,con thinking,83,3,Los Angeles,widowed,primary school,retired,transgender,knitting;football (calcio);painting;reading novels,native-born American,not applicable,low,30,low,32,high,86,low,32,low,28,master's degree,bachelor's degree,curious,Hinduism,heterosexual,You spend a few times monthly on social media
20260414_174830_9879becf_result.json,yes,349,yes,71,yes,con thinking,33,0,New York,single,vocational diploma,self-employed,man,baking;travel;hiking;classical music;birdwatching,native-born American,mechanic,moderate,53,low,5,low,10,low,17,high,97,upper secondary,master's degree,normal,Christianity,bisexual,You have no social media
20260414_174838_ccd844a1_result.json,yes,258,yes,79,yes,con thinking,27,1,Bologna,in a relationship,bachelor's degree,full-time student,man,cycling;running;reading novels;travel;gardening,native-born Italian,not applicable,moderate,51,moderate,61,high,100,moderate,34,high,85,vocational diploma,lower secondary,depressed,Hinduism,asexual,You have no social media
20260414_174843_0c227d33_result.json,yes,349,yes,62,yes,con thinking,61,0,Bologna,single,bachelor's degree,employed part-time,woman,cooking;videogames;yoga;knitting,native-born Italian,school teacher,low,23,high,100,low,15,high,82,moderate,38,PhD,bachelor's degree,with good mental health,Atheist,heterosexual,You have no social media
20260414_174843_c1ad3043_result.json,yes,327,yes,82,yes,con thinking,80,1,Rome,in a relationship,lower secondary,retired,man,birdwatching;board games;rock climbing;hiking;cycling,native-born Italian,not applicable,moderate,49,moderate,34,low,5,moderate,47,low,13,bachelor's degree,PhD,anxious,Islam,heterosexual,You have no social media
20260414_174845_ae0bb636_result.json,yes,281,yes,62,yes,con thinking,90,2,Los Angeles,married,upper secondary,retired,non-binary,yoga;birdwatching,native-born American,not applicable,high,95,moderate,66,low,0,moderate,33,low,21,upper secondary,upper secondary,anxious,Islam,homosexual,You spend roughly a few times weekly on social media
20260414_174846_8e398e2d_result.json,yes,305,yes,69,yes,con thinking,73,3,Chicago,married,upper secondary,retired,man,hiking;travel,native-born American,not applicable,low,3,high,99,low,15,high,79,high,76,master's degree,vocational diploma,normal,Hinduism,heterosexual,You spend roughly one hour daily on social media
20260414_174846_afca4d0d_result.json,yes,314,yes,97,yes,con thinking,46,3,Washington DC,married,upper secondary,employed full-time,woman,running;cooking;travel;classical music;volunteering,immigrant,fitness trainer,high,79,low,20,high,92,high,83,low,9,primary school,PhD,depressed,Hinduism,heterosexual,You spend roughly one hour daily on social media
20260414_174849_d94eb91b_result.json,yes,325,yes,76,yes,con thinking,31,0,Naples,single,upper secondary,employed full-time,woman,board games;cooking,native-born Italian,plumber,high,75,high,68,moderate,45,high,79,high,79,bachelor's degree,lower secondary,creative,Christianity,heterosexual,You have no social media
20260414_174903_c143dfb4_result.json,yes,295,yes,78,yes,con thinking,29,1,Bari,in a relationship,master's degree,employed part-time,man,classical music;knitting,native-born Italian,software developer,high,85,high,68,high,94,high,98,low,1,primary school,primary school,anxious,Islam,bisexual,You spend a few times monthly on social media
20260414_174909_7809b8c6_result.json,yes,300,yes,79,yes,con thinking,61,1,Chicago,divorced,master's degree,employed full-time,man,birdwatching;painting;football (calcio);board games,native-born American,nurse,moderate,59,high,76,moderate,49,low,14,low,11,PhD,PhD,creative,Hinduism,heterosexual,You spend roughly one hour daily on social media
20260414_174911_51e328c7_result.json,yes,297,yes,85,yes,con thinking,61,2,Milan,married,master's degree,employed full-time,man,hiking;baking;rock climbing,immigrant,doctor,low,11,moderate,45,high,99,moderate,65,moderate,33,master's degree,master's degree,creative,Islam,heterosexual,You spend a few times monthly on social media
20260414_174911_a4612acf_result.json,yes,330,yes,84,yes,con thinking,75,2,Bari,widowed,lower secondary,retired,non-binary,gardening;reading novels;rock climbing;cinema,native-born Italian,not applicable,moderate,47,moderate,42,low,5,high,79,high,90,PhD,master's degree,depressed,Islam,heterosexual,You spend several hours daily on social media
20260414_174913_14676edf_result.json,yes,327,yes,77,yes,con thinking,86,2,Naples,in a relationship,vocational diploma,retired,woman,volunteering;classical music;knitting;photography;videogames,native-born Italian,not applicable,high,81,moderate,50,low,0,moderate,41,high,73,vocational diploma,no formal education,normal,Atheist,heterosexual,You spend several hours daily on social media
20260414_174913_c889dadd_result.json,yes,355,yes,72,yes,con thinking,67,2,New York,married,bachelor's degree,self-employed,woman,painting;running;cycling;cooking;videogames,native-born American,accountant,moderate,46,high,92,high,71,high,72,high,96,lower secondary,vocational diploma,creative,Judaism,heterosexual,You spend roughly a few times weekly on social media
20260414_174915_317793e5_result.json,yes,311,yes,77,yes,con thinking,59,0,Naples,divorced,bachelor's degree,employed full-time,transgender,board games;hiking;cinema;knitting;reading novels,native-born Italian,school teacher,moderate,36,moderate,60,high,86,moderate,35,moderate,33,bachelor's degree,PhD,depressed,Islam,bisexual,You spend roughly one hour daily on social media
20260414_174920_a097534b_result.json,yes,261,yes,53,yes,con thinking,25,0,Washington DC,single,bachelor's degree,full-time student,genderqueer,board games;videogames;photography;yoga,native-born American,not applicable,high,81,high,82,high,76,moderate,62,moderate,50,PhD,vocational diploma,creative,Christianity,bisexual,You spend several hours daily on social media
20260414_174928_e6f78cbb_result.json,yes,279,yes,83,yes,con thinking,78,3,Milan,widowed,upper secondary,retired,transgender,painting;birdwatching;hiking,native-born Italian,not applicable,low,6,high,70,low,2,low,8,low,30,lower secondary,upper secondary,depressed,Hinduism,homosexual,You spend roughly a few times weekly on social media
20260414_174935_08705a1a_result.json,yes,310,yes,64,yes,con thinking,60,0,Lecce,married,bachelor's degree,self-employed,transgender,photography;travel;running;gardening;yoga,native-born Italian,software developer,low,21,high,97,moderate,48,moderate,49,low,32,lower secondary,PhD,normal,Islam,heterosexual,You spend roughly one hour daily on social media
20260414_174937_f2546b7b_result.json,yes,314,yes,70,yes,con thinking,85,2,Kansas City,married,master's degree,retired,woman,rock climbing;yoga;cinema;football (calcio),native-born American,not applicable,high,89,high,67,high,78,moderate,60,moderate,66,no formal education,lower secondary,anxious,Hinduism,heterosexual,You spend roughly a few times weekly on social media
20260414_174938_78567203_result.json,yes,300,yes,89,yes,con thinking,37,2,Milan,married,upper secondary,employed part-time,genderqueer,rock climbing;cinema;videogames;running,native-born Italian,mechanic,moderate,34,low,14,low,20,low,8,high,71,no formal education,vocational diploma,depressed,Islam,bisexual,You spend roughly one hour daily on social media
20260414_174938_c4882643_result.json,yes,300,yes,95,yes,con thinking,76,4,Lecce,married,upper secondary,retired,man,reading novels;hiking,immigrant,not applicable,low,29,low,28,high,83,moderate,33,moderate,63,bachelor's degree,PhD,depressed,Hinduism,heterosexual,You spend a few times monthly on social media
20260414_174940_d44bc63c_result.json,yes,311,yes,94,yes,con thinking,60,0,Naples,divorced,upper secondary,employed full-time,woman,classical music;rock climbing,immigrant,plumber,high,90,high,75,high,81,low,25,moderate,59,lower secondary,bachelor's degree,depressed,Islam,heterosexual,You spend roughly one hour daily on social media
20260414_174942_9238e3ba_result.json,yes,320,yes,81,yes,con thinking,48,3,Chicago,married,upper secondary,unemployed,non-binary,cinema;baking;painting;classical music,native-born American,not applicable,low,18,low,7,high,95,high,89,low,26,primary school,PhD,creative,Islam,heterosexual,You spend a few times monthly on social media
20260414_174946_04b5b36d_result.json,yes,300,yes,93,yes,con thinking,79,1,Washington DC,divorced,lower secondary,retired,genderqueer,yoga;board games;volunteering;travel,native-born American,not applicable,high,72,high,85,low,3,low,5,high,96,PhD,lower secondary,depressed,Christianity,heterosexual,You have no social media
20260414_174952_b69c9185_result.json,yes,291,yes,56,yes,con thinking,56,1,Chicago,married,vocational diploma,self-employed,woman,yoga;baking;reading novels;classical music,native-born American,retail worker,low,28,low,5,low,25,moderate,42,high,87,no formal education,vocational diploma,anxious,Islam,heterosexual,You spend a few times monthly on social media
20260414_175000_d592b4b1_result.json,yes,317,yes,59,yes,con thinking,62,3,Philadelphia,widowed,lower secondary,employed full-time,man,volunteering;photography,native-born American,retail worker,low,23,low,14,moderate,59,high,81,moderate,37,bachelor's degree,vocational diploma,creative,Christianity,heterosexual,You have no social media
20260414_175001_8fa6ecfc_result.json,yes,302,yes,83,yes,con thinking,57,2,Bologna,married,bachelor's degree,self-employed,woman,cycling;reading novels;photography,native-born Italian,accountant,high,75,moderate,62,low,11,low,19,high,78,vocational diploma,primary school,depressed,Hinduism,heterosexual,You spend roughly a few times weekly on social media
20260414_175005_a4469336_result.json,yes,341,yes,72,yes,con thinking,38,1,Chicago,in a relationship,vocational diploma,employed full-time,man,travel;videogames,native-born American,delivery driver,low,26,moderate,37,high,87,moderate,66,moderate,39,PhD,no formal education,with good mental health,Islam,heterosexual,You spend roughly a few times weekly on social media
20260414_175005_a7241d5a_result.json,yes,347,yes,71,yes,con thinking,90,1,Washington DC,divorced,upper secondary,retired,transgender,painting;classical music;cinema;running;football (calcio),native-born American,not applicable,moderate,41,low,11,high,80,low,11,high,90,vocational diploma,lower secondary,curious,Agnostic,heterosexual,You spend roughly one hour daily on social media
20260414_175006_84d86859_result.json,yes,311,yes,73,yes,con thinking,38,3,Milan,married,lower secondary,employed full-time,man,birdwatching;volunteering,native-born Italian,delivery driver,low,2,low,19,low,25,low,14,moderate,35,primary school,master's degree,curious,Islam,asexual,You spend roughly a few times weekly on social media
20260414_175008_a37d89dc_result.json,yes,335,yes,78,yes,con thinking,53,1,Milan,in a relationship,upper secondary,unemployed,woman,reading novels;travel,native-born Italian,not applicable,high,85,moderate,42,moderate,44,moderate,47,low,21,vocational diploma,PhD,with good mental health,Agnostic,heterosexual,You have no social media
20260414_175013_6fd66b83_result.json,yes,299,yes,79,yes,con thinking,90,2,Washington DC,widowed,lower secondary,retired,man,football (calcio);volunteering,native-born American,not applicable,low,21,low,6,high,75,moderate,53,moderate,59,vocational diploma,primary school,normal,Buddhism,homosexual,You spend roughly one hour daily on social media
20260414_175019_438edb90_result.json,yes,306,yes,76,yes,con thinking,65,3,Bari,single,upper secondary,self-employed,woman,football (calcio);running,native-born Italian,mechanic,high,67,high,84,low,19,moderate,66,high,76,lower secondary,no formal education,with good mental health,Christianity,heterosexual,You spend roughly one hour daily on social media
20260414_175026_5f411a4d_result.json,yes,320,yes,106,yes,con thinking,21,0,Bari,single,upper secondary,full-time student,man,board games;cinema;videogames;baking;hiking,native-born Italian,not applicable,moderate,40,moderate,34,moderate,61,high,76,high,70,primary school,vocational diploma,depressed,Islam,heterosexual,You have no social media
20260414_175029_34c637db_result.json,yes,272,yes,59,yes,con thinking,53,1,Philadelphia,divorced,bachelor's degree,employed full-time,man,hiking;football (calcio);photography,native-born American,engineer,moderate,54,moderate,61,moderate,62,low,14,low,5,no formal education,lower secondary,with good mental health,Agnostic,bisexual,You spend roughly one hour daily on social media
20260414_175029_cfd19102_result.json,yes,348,yes,102,yes,con thinking,44,1,Rome,single,vocational diploma,employed part-time,man,birdwatching;baking;board games,native-born Italian,cleaner,high,91,moderate,49,moderate,51,high,86,high,81,master's degree,vocational diploma,normal,Islam,heterosexual,You spend a few times monthly on social media
20260414_175031_7044fab1_result.json,yes,310,yes,82,yes,con thinking,84,0,Rome,divorced,bachelor's degree,employed part-time,woman,running;hiking;cycling;gardening,native-born Italian,translator,high,70,high,83,high,77,low,20,high,96,upper secondary,primary school,anxious,Islam,heterosexual,You spend roughly a few times weekly on social media
20260414_175032_a1510bb2_result.json,yes,289,yes,89,yes,con thinking,79,2,Naples,married,master's degree,retired,man,volunteering;rock climbing,native-born Italian,not applicable,low,19,moderate,45,low,7,moderate,51,low,8,lower secondary,PhD,depressed,Islam,heterosexual,You spend a few times monthly on social media
20260414_175033_38a9b744_result.json,yes,291,yes,79,yes,con thinking,19,0,Bari,single,bachelor's degree,employed part-time,woman,running;knitting;cooking,native-born Italian,translator,high,81,high,94,high,68,low,18,low,31,lower secondary,upper secondary,with good mental health,Christianity,homosexual,You spend several hours daily on social media
20260414_175039_6b666723_result.json,yes,299,yes,85,yes,con thinking,42,2,Milan,married,bachelor's degree,employed full-time,man,baking;travel;cooking;painting;football (calcio),immigrant,civil servant,high,67,low,30,low,25,moderate,63,low,32,PhD,lower secondary,curious,Hinduism,heterosexual,You spend roughly one hour daily on social media
20260414_175044_8fcfd3da_result.json,yes,299,yes,52,yes,con thinking,31,1,Philadelphia,single,lower secondary,employed part-time,man,reading novels;classical music,native-born American,barista,high,76,moderate,65,low,16,moderate,61,moderate,51,bachelor's degree,primary school,anxious,Islam,homosexual,You spend roughly a few times weekly on social media
20260414_175050_9015c616_result.json,yes,278,yes,44,yes,con thinking,45,3,New York,married,bachelor's degree,employed full-time,man,travel;reading novels;cycling;videogames;birdwatching,native-born American,data scientist,low,30,high,100,high,98,low,11,moderate,33,upper secondary,no formal education,anxious,Islam,bisexual,You spend roughly one hour daily on social media
20260414_175054_5d356860_result.json,yes,317,yes,60,yes,con thinking,23,0,Naples,in a relationship,upper secondary,employed full-time,man,cooking;cycling;running,native-born Italian,retail worker,high,79,high,90,low,10,low,10,moderate,41,vocational diploma,vocational diploma,creative,Islam,heterosexual,You spend several hours daily on social media
20260414_175055_d6539b3f_result.json,yes,339,yes,69,yes,con thinking,83,0,Washington DC,divorced,primary school,retired,man,cinema;board games,native-born American,not applicable,high,74,high,69,high,97,moderate,36,low,0,bachelor's degree,lower secondary,normal,Islam,heterosexual,You spend roughly one hour daily on social media
20260414_175056_af097f40_result.json,yes,282,yes,62,yes,con thinking,53,2,Bari,in a relationship,upper secondary,employed full-time,man,birdwatching;yoga;painting;knitting;gardening,native-born Italian,cleaner,low,28,low,9,low,15,moderate,64,low,21,PhD,lower secondary,anxious,Judaism,bisexual,You spend roughly a few times weekly on social media
20260414_175058_359df7de_result.json,yes,313,yes,83,yes,con thinking,32,3,Milan,in a relationship,bachelor's degree,employed full-time,woman,classical music;videogames;yoga;cinema;baking,immigrant,engineer,high,96,moderate,55,moderate,50,high,81,high,84,upper secondary,master's degree,creative,Islam,heterosexual,You spend roughly one hour daily on social media
20260414_175100_da8647a5_result.json,yes,334,yes,79,yes,con thinking,78,2,Bari,married,primary school,retired,man,reading novels;gardening,native-born Italian,not applicable,high,83,high,82,moderate,49,moderate,51,low,10,upper secondary,upper secondary,anxious,Islam,asexual,You spend roughly one hour daily on social media
20260414_175102_1389b05c_result.json,yes,253,yes,69,yes,con thinking,82,1,Rome,married,primary school,retired,woman,running;painting;travel,native-born Italian,not applicable,moderate,44,high,98,low,8,moderate,51,moderate,49,upper secondary,master's degree,with good mental health,Islam,heterosexual,You spend several hours daily on social media
20260414_175110_96d3bd38_result.json,yes,307,yes,73,yes,con thinking,33,2,Milan,married,vocational diploma,unemployed,transgender,cinema;volunteering;videogames;board games,native-born Italian,not applicable,moderate,45,moderate,51,high,68,low,30,high,85,upper secondary,bachelor's degree,with good mental health,Christianity,heterosexual,You spend several hours daily on social media
20260414_175116_2027f4ef_result.json,yes,301,yes,72,yes,con thinking,72,3,Los Angeles,divorced,upper secondary,retired,man,gardening;rock climbing,native-born American,not applicable,moderate,52,low,19,moderate,64,moderate,58,moderate,54,vocational diploma,PhD,with good mental health,Christianity,heterosexual,You spend roughly one hour daily on social media
20260414_175120_050493ad_result.json,yes,290,yes,96,yes,con thinking,68,2,Lecce,divorced,master's degree,retired,woman,photography;cycling;football (calcio);baking;painting,native-born Italian,not applicable,low,21,high,92,high,77,moderate,44,high,79,primary school,no formal education,depressed,Islam,heterosexual,You spend several hours daily on social media
20260414_175120_cfc82bdc_result.json,yes,306,yes,94,yes,con thinking,90,1,Chicago,married,bachelor's degree,retired,man,reading novels;knitting;rock climbing;birdwatching,native-born American,not applicable,low,31,high,88,moderate,64,high,95,high,84,no formal education,upper secondary,with good mental health,Christianity,heterosexual,You spend several hours daily on social media
20260414_175125_c46a049e_result.json,yes,299,yes,80,yes,con thinking,75,2,Chicago,married,lower secondary,retired,man,videogames;volunteering,native-born American,not applicable,low,7,high,92,high,84,low,6,moderate,39,no formal education,no formal education,curious,Christianity,heterosexual,You spend a few times monthly on social media
